"Time","batt"
2021-06-11 04:18:55,8.17 V
2021-06-11 04:19:55,8.19 V
2021-06-11 04:20:56,8.19 V
2021-06-11 04:21:56,8.20 V
2021-06-11 04:22:57,8.20 V
2021-06-11 04:23:57,8.20 V
2021-06-11 04:24:58,8.19 V
2021-06-11 04:36:03,8.20 V
2021-06-11 04:37:09,8.20 V
2021-06-11 04:38:09,8.20 V
2021-06-11 04:39:10,8.20 V
2021-06-11 04:40:11,8.20 V
2021-06-11 04:41:11,8.21 V
2021-06-11 05:52:43,8.19 V
2021-06-11 05:53:43,8.21 V
2021-06-11 05:54:44,8.21 V
2021-06-11 05:55:45,8.21 V
2021-06-11 05:56:45,8.20 V
2021-06-11 05:57:46,8.20 V
2021-06-11 05:58:46,8.19 V
2021-06-11 05:59:47,8.19 V
2021-06-11 09:32:22,8.20 V
2021-06-11 09:33:22,8.20 V
2021-06-11 12:39:19,8.23 V
2021-06-11 12:39:19,8.23 V
2021-06-12 00:07:52,8.23 V
2021-06-12 00:11:37,8.23 V
2021-06-12 00:12:37,8.22 V
2021-06-12 00:12:37,8.22 V
2021-06-12 00:12:37,8.22 V
2021-06-12 01:45:04,8.22 V
2021-06-12 03:20:24,8.18 V
2021-06-12 04:33:49,8.12 V
2021-06-12 05:48:55,8.04 V
2021-06-12 05:49:56,8.06 V
2021-06-12 05:50:56,8.07 V
2021-06-12 05:51:57,8.09 V
2021-06-12 05:52:57,8.08 V
2021-06-12 05:53:58,8.08 V
2021-06-12 05:54:58,8.07 V
2021-06-12 09:26:33,8.04 V
2021-06-12 09:27:34,8.03 V
2021-06-12 09:30:35,8.01 V
2021-06-12 12:37:54,7.91 V
