Time,47959.obc_uptime_total
2023-03-01 01:48:55,60424591
2023-03-01 01:48:55,60424591
2023-03-01 01:48:55,60424591
2023-03-01 01:50:15,60424679
2023-03-01 01:50:23,60424679
2023-03-01 01:50:23,60424679
2023-03-01 01:50:23,60424679
2023-03-01 01:50:23,60424679
2023-03-01 01:50:23,60424679
2023-03-01 01:51:43,60424767
2023-03-01 01:51:43,60424767
2023-03-01 01:51:51,60424767
2023-03-01 01:51:51,60424767
2023-03-01 01:51:51,60424767
2023-03-01 01:51:51,60424767
2023-03-01 01:53:11,60424855
2023-03-01 01:53:19,60424855
2023-03-01 01:53:19,60424855
2023-03-01 01:53:19,60424855
2023-03-01 01:53:19,60424855
2023-03-01 01:53:19,60424855
2023-03-01 01:53:19,60424855
2023-03-01 03:21:21,60430135
2023-03-01 03:21:21,60430135
2023-03-01 03:22:49,60430223
2023-03-01 03:22:49,60430223
2023-03-01 03:24:17,60430311
2023-03-01 03:24:17,60430311
2023-03-01 03:24:17,60430311
2023-03-01 03:25:45,60430399
2023-03-01 03:27:13,60430487
2023-03-01 03:27:13,60430487
2023-03-01 03:27:13,60430487
2023-03-01 03:28:41,60430575
2023-03-01 04:56:43,60435855
2023-03-01 04:58:11,60435943
2023-03-01 04:59:39,60436031
2023-03-01 09:48:42,60453367
2023-03-01 09:50:10,60453455
2023-03-01 09:51:38,60453543
2023-03-01 09:53:06,60453631
2023-03-01 10:58:59,60457591
2023-03-01 10:59:08,60457591
2023-03-01 11:01:56,60457767
2023-03-01 11:01:57,60457767
2023-03-01 11:02:04,60457767
2023-03-01 11:02:05,60457767
2023-03-01 11:02:11,60457767
2023-03-01 11:04:51,60457943
2023-03-01 11:04:52,60457943
2023-03-01 11:05:00,60457943
2023-03-01 11:05:00,60457943
2023-03-01 11:06:20,60458031
2023-03-01 11:06:20,60458031
2023-03-01 11:06:28,60458031
2023-03-01 11:06:28,60458031
2023-03-01 12:37:17,60463487
2023-03-01 12:37:18,60463487
2023-03-01 12:37:20,60463487
2023-03-01 12:37:20,60463487
2023-03-01 12:37:24,60463487
2023-03-01 12:37:24,60463487
2023-03-01 12:37:26,60463487
2023-03-01 12:37:26,60463487
