"Time","Panel X Current"
2019-04-15 03:00:00,18
2019-04-15 03:00:00,144
2019-04-15 03:00:00,240
2019-04-16 03:00:00,131
2019-04-16 03:00:00,77
2019-04-16 03:00:00,17
2019-04-16 03:00:00,27
2019-04-16 03:00:00,26
2019-04-16 03:00:00,31
2019-04-16 03:00:00,18
2019-04-16 03:00:00,158
2019-04-16 03:00:00,17
2019-04-16 03:00:00,135
2019-04-16 03:00:00,18
2019-04-16 03:00:00,45
2019-04-16 03:00:00,83
2019-04-16 03:00:00,32
2019-04-16 03:00:00,30
2019-04-16 03:00:00,20
2019-04-16 03:00:00,19
2019-04-16 03:00:00,147
2019-04-16 03:00:00,168
2019-04-16 03:00:00,285
2019-04-16 03:00:00,270
2019-04-16 03:00:00,276
2019-04-16 03:00:00,29
2019-04-16 03:00:00,225
2019-04-16 03:00:00,65
2019-04-16 03:00:00,33
2019-04-16 03:00:00,31
2019-04-16 03:00:00,16
2019-04-17 03:00:00,16
2019-04-17 03:00:00,18
2019-04-17 03:00:00,18
2019-04-17 03:00:00,29
2019-04-17 03:00:00,17
2019-04-17 03:00:00,110
2019-04-17 03:00:00,19
2019-04-17 03:00:00,64
2019-04-17 03:00:00,36
2019-04-18 03:00:00,24
2019-04-18 03:00:00,29
2019-04-18 03:00:00,17
2019-04-18 03:00:00,265
2019-04-18 03:00:00,168
2019-04-18 03:00:00,18
2019-04-18 03:00:00,296
2019-04-18 03:00:00,172
2019-04-18 03:00:00,19
2019-04-18 03:00:00,40
2019-04-19 03:00:00,99
2019-04-19 03:00:00,26
2019-04-19 03:00:00,18
2019-04-19 03:00:00,201
2019-04-19 03:00:00,17
2019-04-20 03:00:00,308
2019-04-20 03:00:00,45
2019-04-20 03:00:00,18
2019-04-20 03:00:00,20
2019-04-20 03:00:00,17
2019-04-20 03:00:00,18
