Time,"53385.offset, kB"
2023-03-30 10:49:48,38.812
2023-03-30 10:49:49,39.764
2023-03-30 10:49:50,40.548
2023-03-30 10:49:51,41.276
2023-03-30 10:49:52,42.06
2023-03-30 10:49:53,42.788
2023-03-30 10:49:54,43.572
2023-03-30 10:49:55,44.3
2023-03-30 10:49:56,45.084
2023-03-30 10:49:57,45.924
2023-03-30 10:49:59,47.828
2023-03-30 10:50:00,48.332
2023-03-30 10:50:01,49.06
2023-03-30 10:50:02,50.012
2023-03-30 10:50:03,50.628
2023-03-30 10:50:04,51.524
2023-03-30 10:50:05,52.308
2023-03-30 10:50:06,53.036
2023-03-30 10:50:07,53.82
2023-03-30 12:18:40,0.172
2023-03-30 12:18:47,0.004
2023-03-30 12:18:48,0.732
2023-03-30 12:18:49,1.516
2023-03-30 12:18:50,2.468
2023-03-30 12:18:51,3.196
2023-03-30 12:18:52,9.412
2023-03-30 12:18:52,3.924
2023-03-30 12:18:53,10.252
2023-03-30 12:18:53,4.652
2023-03-30 12:18:54,10.812
2023-03-30 12:18:54,5.548
2023-03-30 12:18:55,11.596
2023-03-30 12:18:55,6.276
2023-03-30 12:18:56,12.492
2023-03-30 12:18:56,7.172
2023-03-30 12:18:57,13.164
2023-03-30 12:18:57,7.844
2023-03-30 12:18:58,13.948
2023-03-30 12:18:58,8.572
2023-03-30 12:18:59,14.676
2023-03-30 12:18:59,9.748
2023-03-30 12:19:00,15.628
2023-03-30 12:19:00,10.252
2023-03-30 12:19:01,16.3
2023-03-30 12:19:01,10.924
2023-03-30 12:19:02,17.14
2023-03-30 12:19:02,11.876
2023-03-30 12:19:03,17.98
2023-03-30 12:19:03,12.436
2023-03-30 12:19:04,19.044
2023-03-30 12:19:04,13.276
2023-03-30 12:19:05,19.436
2023-03-30 12:19:05,14.228
2023-03-30 12:19:06,20.164
2023-03-30 12:19:06,14.956
2023-03-30 12:19:07,21.116
2023-03-30 12:19:07,15.684
2023-03-30 12:19:08,21.788
2023-03-30 12:19:08,16.58
2023-03-30 12:19:09,22.516
2023-03-30 12:19:09,17.252
2023-03-30 12:19:10,23.3
2023-03-30 12:19:10,17.98
2023-03-30 12:19:11,24.252
2023-03-30 12:19:11,18.932
2023-03-30 12:19:12,24.98
2023-03-30 12:19:12,19.884
2023-03-30 12:19:13,25.876
2023-03-30 12:19:13,20.332
2023-03-30 12:19:14,26.436
2023-03-30 12:19:14,21.284
2023-03-30 12:19:15,27.444
2023-03-30 12:19:15,22.068
2023-03-30 12:19:16,28.172
2023-03-30 12:19:16,22.684
2023-03-30 12:19:17,28.844
2023-03-30 12:19:17,23.412
2023-03-30 12:19:18,29.572
2023-03-30 12:19:18,24.364
2023-03-30 12:19:19,30.524
2023-03-30 12:19:19,25.092
2023-03-30 12:19:20,31.196
2023-03-30 12:19:20,25.82
2023-03-30 12:19:21,31.98
2023-03-30 12:19:21,26.772
2023-03-30 12:19:22,32.876
2023-03-30 12:19:22,27.444
2023-03-30 12:19:23,33.604
2023-03-30 12:19:23,28.172
2023-03-30 12:19:24,34.332
2023-03-30 12:19:24,29.18
2023-03-30 12:19:25,35.06
2023-03-30 12:19:25,29.852
2023-03-30 12:19:26,35.9
2023-03-30 12:19:26,30.412
2023-03-30 12:19:27,36.796
2023-03-30 12:19:27,31.308
2023-03-30 12:19:28,37.468
2023-03-30 12:19:28,32.708
2023-03-30 12:19:29,38.196
2023-03-30 12:19:29,33.38
2023-03-30 12:19:30,39.148
2023-03-30 12:19:30,33.828
2023-03-30 12:19:31,39.932
2023-03-30 12:19:31,34.556
2023-03-30 12:19:32,40.716
2023-03-30 12:19:32,35.284
2023-03-30 12:19:33,41.444
2023-03-30 12:19:33,36.068
2023-03-30 12:19:34,42.172
2023-03-30 12:19:34,36.74
2023-03-30 12:19:35,43.068
2023-03-30 12:19:35,37.58
2023-03-30 12:19:36,43.852
2023-03-30 12:19:36,38.532
2023-03-30 12:19:37,44.58
2023-03-30 12:19:37,39.204
2023-03-30 12:19:38,45.308
2023-03-30 12:19:38,39.932
2023-03-30 12:19:39,46.148
2023-03-30 12:19:39,40.716
2023-03-30 12:19:40,47.044
2023-03-30 12:19:40,41.668
2023-03-30 12:19:41,47.716
2023-03-30 12:19:41,42.396
2023-03-30 12:19:42,48.444
2023-03-30 12:19:42,43.068
2023-03-30 12:19:43,49.788
2023-03-30 12:19:43,44.02
2023-03-30 12:19:44,50.348
2023-03-30 12:19:44,44.748
2023-03-30 12:19:45,51.244
2023-03-30 12:19:45,45.42
2023-03-30 12:19:46,51.636
2023-03-30 12:19:46,46.428
2023-03-30 12:19:47,52.532
2023-03-30 12:19:47,47.66
2023-03-30 12:19:48,53.092
2023-03-30 12:19:48,48.556
2023-03-30 12:19:49,53.988
2023-03-30 12:19:49,48.836
2023-03-30 12:19:50,49.452
2023-03-30 12:19:51,50.124
2023-03-30 12:19:52,51.076
2023-03-30 12:19:53,51.804
2023-03-30 12:19:54,52.532
2023-03-30 12:19:55,53.26
2023-03-30 12:19:56,54.1
2023-03-31 11:48:54,11.092
2023-03-31 11:48:55,11.82
2023-03-31 11:48:56,6.108
2023-03-31 11:48:58,8.068
2023-03-31 11:48:59,3.868
2023-03-31 11:49:00,9.412
2023-03-31 11:49:02,17.308
2023-03-31 11:49:02,10.756
2023-03-31 11:49:03,7.564
2023-03-31 11:49:03,17.924
2023-03-31 11:49:03,11.876
2023-03-31 11:49:04,18.708
2023-03-31 11:49:05,19.548
2023-03-31 11:49:06,20.276
2023-03-31 11:49:07,10.812
2023-03-31 11:49:08,11.372
2023-03-31 11:50:40,0.004
2023-03-31 11:50:41,0.62
2023-03-31 11:50:42,1.572
2023-03-31 11:50:43,2.3
2023-03-31 11:50:44,0.004
2023-03-31 11:50:44,3.084
2023-03-31 11:50:45,0.172
2023-03-31 11:50:45,3.868
2023-03-31 11:50:46,0.844
2023-03-31 11:50:46,4.484
2023-03-31 11:50:47,1.796
2023-03-31 11:50:47,5.436
2023-03-31 11:50:48,0.06
2023-03-31 11:50:48,2.636
2023-03-31 11:50:48,6.164
2023-03-31 11:50:49,0.508
2023-03-31 11:50:49,3.364
2023-03-31 11:50:49,6.892
2023-03-31 11:50:50,1.46
2023-03-31 11:50:50,4.148
2023-03-31 11:50:50,7.62
2023-03-31 11:50:51,2.02
2023-03-31 11:50:51,4.82
2023-03-31 11:50:51,8.46
2023-03-31 11:50:52,2.972
2023-03-31 11:50:52,5.604
2023-03-31 11:50:52,9.356
2023-03-31 11:50:53,3.756
2023-03-31 11:50:53,6.556
2023-03-31 11:50:53,10.14
2023-03-31 11:50:54,7.284
2023-03-31 11:50:54,10.924
2023-03-31 11:50:54,4.484
2023-03-31 11:50:54,0.62
2023-03-31 11:50:55,5.268
2023-03-31 11:50:55,1.404
2023-03-31 11:50:55,11.596
2023-03-31 11:50:55,8.068
2023-03-31 11:50:56,12.324
2023-03-31 11:50:56,8.74
2023-03-31 11:50:56,2.02
2023-03-31 11:50:56,6.108
2023-03-31 11:50:57,2.916
2023-03-31 11:50:57,6.948
2023-03-31 11:50:57,9.524
2023-03-31 11:50:57,13.108
2023-03-31 11:50:58,10.476
2023-03-31 11:50:58,13.948
2023-03-31 11:50:58,7.564
2023-03-31 11:50:58,3.308
2023-03-31 11:50:59,8.404
2023-03-31 11:50:59,4.26
2023-03-31 11:50:59,14.788
2023-03-31 11:50:59,11.204
2023-03-31 11:51:00,15.516
2023-03-31 11:51:00,11.988
2023-03-31 11:51:00,5.156
2023-03-31 11:51:00,9.244
2023-03-31 11:51:01,12.716
2023-03-31 11:51:01,5.492
2023-03-31 11:51:01,9.972
2023-03-31 11:51:02,6.724
2023-03-31 11:51:02,10.812
2023-03-31 11:51:02,13.5
2023-03-31 11:51:02,17.812
2023-03-31 11:51:03,14.228
2023-03-31 11:51:03,18.596
2023-03-31 11:51:03,11.484
2023-03-31 11:51:03,7.116
2023-03-31 11:51:04,12.38
2023-03-31 11:51:04,8.348
2023-03-31 11:51:04,18.876
2023-03-31 11:51:04,15.18
2023-03-31 11:51:05,19.548
2023-03-31 11:51:05,15.964
2023-03-31 11:51:05,9.244
2023-03-31 11:51:05,13.052
2023-03-31 11:51:06,9.86
2023-03-31 11:51:06,13.948
2023-03-31 11:51:06,16.692
2023-03-31 11:51:06,20.276
2023-03-31 11:51:07,17.42
2023-03-31 11:51:07,17.98
2023-03-31 11:51:07,14.676
2023-03-31 11:51:07,10.812
