Time,Sun Position 1
2021-04-21 03:00:00,127925801
2021-04-22 03:00:00,127200292
2021-04-23 03:00:00,125224567
2021-04-24 03:00:00,123818877
2021-04-25 03:00:00,122377199
2021-04-26 03:00:00,121673803
2021-04-27 03:00:00,119390369
2021-04-28 03:00:00,117845165
2021-04-29 03:00:00,-1
2021-04-30 03:00:00,-1
2021-05-01 03:00:00,113752119
2021-05-02 03:00:00,112087325
2021-05-03 03:00:00,109609759
2021-05-04 03:00:00,109266313
2021-05-05 03:00:00,107513985
2021-05-06 03:00:00,105731548
2021-05-07 03:00:00,102687457
2021-05-08 03:00:00,101547840
2021-05-09 03:00:00,-1
2021-05-10 03:00:00,-1
2021-05-11 03:00:00,-1
2021-05-12 03:00:00,94407477
2021-05-13 03:00:00,92419751
2021-05-14 03:00:00,89288230
2021-05-15 03:00:00,87785543
2021-05-16 03:00:00,85577861
2021-05-17 03:00:00,-1
2021-05-18 03:00:00,80673977
2021-05-19 03:00:00,78376140
2021-05-20 03:00:00,77801091
2021-05-21 03:00:00,75144156
2021-05-22 03:00:00,71783028
2021-05-23 03:00:00,70561740
2021-05-24 03:00:00,-1
