Time,Moon Position 1
2020-11-25 03:00:00,390836.0
2020-11-26 03:00:00,377438.0
2020-11-27 03:00:00,1.0
2020-11-28 03:00:00,1.0
2020-11-29 03:00:00,240624.0
2020-11-30 03:00:00,1.0
2020-12-01 03:00:00,62059.0
2020-12-02 03:00:00,-61907.0
2020-12-03 03:00:00,-96494.0
2020-12-04 03:00:00,-176213.0
2020-12-05 03:00:00,-282452.0
2020-12-06 03:00:00,-293370.0
2020-12-07 03:00:00,-349331.0
2020-12-08 03:00:00,-369596.0
2020-12-09 03:00:00,-368953.0
2020-12-10 03:00:00,-325649.0
2020-12-11 03:00:00,-285097.0
2020-12-12 03:00:00,-240557.0
2020-12-13 03:00:00,-118448.0
2020-12-14 03:00:00,-75313.0
2020-12-15 03:00:00,23153.0
2020-12-16 03:00:00,114060.0
2020-12-17 03:00:00,198411.0
2020-12-18 03:00:00,267171.0
2020-12-19 03:00:00,1.0
2020-12-20 03:00:00,369272.0
2020-12-21 03:00:00,1.0
2020-12-22 03:00:00,393926.0
2020-12-23 03:00:00,386642.0
2020-12-24 03:00:00,1.0
2020-12-25 03:00:00,1.0
2020-12-26 03:00:00,1.0
2020-12-27 03:00:00,1.0
2020-12-28 03:00:00,1.0
2020-12-29 03:00:00,29716.0
2020-12-30 03:00:00,-74543.0
2020-12-31 03:00:00,-161720.0
2021-01-01 03:00:00,-264542.0
2021-01-02 03:00:00,-292475.0
2021-01-03 03:00:00,-355180.0
2021-01-04 03:00:00,1.0
2021-01-05 03:00:00,1.0
2021-01-06 03:00:00,1.0
2021-01-07 03:00:00,1.0
2021-01-08 03:00:00,-261110.0
2021-01-09 03:00:00,-193591.0
2021-01-10 03:00:00,-63567.0
2021-01-11 03:00:00,-13525.0
2021-01-12 03:00:00,118657.0
2021-01-13 03:00:00,1.0
2021-01-14 03:00:00,1.0
2021-01-15 03:00:00,328134.0
2021-01-16 03:00:00,350236.0
2021-01-17 03:00:00,377311.0
2021-01-18 03:00:00,394938.0
2021-01-19 03:00:00,380544.0
2021-01-20 03:00:00,366742.0
2021-01-21 03:00:00,298470.0
2021-01-22 03:00:00,248302.0
2021-01-23 03:00:00,167241.0
2021-01-24 03:00:00,80432.0
2021-01-25 03:00:00,39879.0
2021-01-26 03:00:00,-90373.0
2021-01-27 03:00:00,1.0
2021-01-28 03:00:00,-211811.0
2021-01-29 03:00:00,-273486.0
2021-01-30 03:00:00,-327519.0
2021-01-31 03:00:00,-357776.0
2021-02-01 03:00:00,-370188.0
