Time,tlm_mb_battpack_0_element_0_current mA (A)
2023-07-20 03:00:00,35.0
2023-07-20 03:00:00,52.4
2023-07-20 03:00:00,12.0
2023-07-20 03:00:00,78.0
2023-07-20 03:00:00,71.0
2023-07-20 03:00:00,59.0
2023-07-21 03:00:00,79.0
2023-07-21 03:00:00,90.0
2023-07-21 03:00:00,72.0
2023-07-21 03:00:00,69.0
2023-07-21 03:00:00,68.0
2023-07-21 03:00:00,94.0
2023-07-21 03:00:00,90.0
2023-07-21 03:00:00,114.0
2023-07-21 03:00:00,82.0
2023-07-21 03:00:00,102.0
2023-07-21 03:00:00,88.0
2023-07-21 03:00:00,81.0
2023-07-21 03:00:00,78.0
2023-07-21 03:00:00,76.0
2023-07-21 03:00:00,74.0
2023-07-21 03:00:00,89.0
2023-07-21 03:00:00,80.0
2023-07-21 03:00:00,71.0
2023-07-21 03:00:00,52.4
2023-07-21 03:00:00,45.0
2023-07-21 03:00:00,39.0
2023-07-21 03:00:00,38.0
2023-07-21 03:00:00,52.4
2023-07-21 03:00:00,52.4
2023-07-21 03:00:00,78.0
2023-07-21 03:00:00,52.4
2023-07-21 03:00:00,12.0
2023-07-21 03:00:00,52.4
2023-07-21 03:00:00,70.0
2023-07-21 03:00:00,59.0
2023-07-21 03:00:00,55.0
2023-07-22 03:00:00,82.0
2023-07-22 03:00:00,79.0
2023-07-22 03:00:00,74.0
2023-07-22 03:00:00,68.0
2023-07-22 03:00:00,42.0
2023-07-22 03:00:00,85.0
2023-07-22 03:00:00,90.0
2023-07-22 03:00:00,72.0
2023-07-22 03:00:00,62.0
2023-07-22 03:00:00,52.4
2023-07-22 03:00:00,52.4
2023-07-22 03:00:00,52.4
2023-07-22 03:00:00,238.0
2023-07-22 03:00:00,4.0
2023-07-22 03:00:00,32.0
2023-07-22 03:00:00,52.4
2023-07-22 03:00:00,77.0
2023-07-22 03:00:00,90.0
2023-07-22 03:00:00,70.0
2023-07-22 03:00:00,80.0
2023-07-22 03:00:00,62.0
2023-07-23 03:00:00,72.0
2023-07-23 03:00:00,46.0
2023-07-23 03:00:00,69.0
2023-07-23 03:00:00,68.0
2023-07-23 03:00:00,71.0
2023-07-23 03:00:00,73.0
2023-07-23 03:00:00,52.4
2023-07-23 03:00:00,97.0
2023-07-23 03:00:00,78.0
2023-07-23 03:00:00,80.0
2023-07-23 03:00:00,67.0
2023-07-23 03:00:00,52.4
2023-07-23 03:00:00,52.4
2023-07-23 03:00:00,215.0
2023-07-23 03:00:00,4.0
2023-07-23 03:00:00,261.0
2023-07-23 03:00:00,12.0
2023-07-23 03:00:00,254.0
2023-07-23 03:00:00,52.0
2023-07-23 03:00:00,59.0
2023-07-23 03:00:00,58.0
2023-07-24 03:00:00,76.0
2023-07-24 03:00:00,74.0
2023-07-24 03:00:00,38.0
2023-07-24 03:00:00,72.0
2023-07-24 03:00:00,68.0
2023-07-24 03:00:00,66.0
2023-07-24 03:00:00,61.0
2023-07-24 03:00:00,73.0
2023-07-24 03:00:00,52.4
2023-07-24 03:00:00,52.4
2023-07-24 03:00:00,49.0
2023-07-24 03:00:00,46.0
2023-07-24 03:00:00,45.0
2023-07-24 03:00:00,52.4
2023-07-24 03:00:00,86.0
2023-07-24 03:00:00,107.0
2023-07-24 03:00:00,79.0
2023-07-24 03:00:00,4.0
2023-07-24 03:00:00,52.4
2023-07-24 03:00:00,63.0
2023-07-24 03:00:00,70.0
2023-07-24 03:00:00,57.0
2023-07-25 03:00:00,67.0
2023-07-25 03:00:00,63.0
2023-07-25 03:00:00,66.0
2023-07-25 03:00:00,75.0
2023-07-25 03:00:00,58.0
2023-07-25 03:00:00,39.0
2023-07-25 03:00:00,43.0
2023-07-25 03:00:00,37.0
2023-07-25 03:00:00,4.0
2023-07-25 03:00:00,12.0
2023-07-25 03:00:00,70.0
2023-07-25 03:00:00,74.0
2023-07-25 03:00:00,52.4
2023-07-25 03:00:00,74.0
2023-07-25 03:00:00,35.0
2023-07-25 03:00:00,71.0
2023-07-25 03:00:00,69.0
2023-07-25 03:00:00,45.0
2023-07-26 03:00:00,71.0
2023-07-26 03:00:00,73.0
2023-07-26 03:00:00,68.0
2023-07-26 03:00:00,63.0
2023-07-26 03:00:00,61.0
2023-07-26 03:00:00,36.0
2023-07-26 03:00:00,109.0
2023-07-26 03:00:00,84.0
2023-07-26 03:00:00,102.0
2023-07-26 03:00:00,82.0
2023-07-26 03:00:00,72.0
2023-07-26 03:00:00,70.0
2023-07-26 03:00:00,52.4
2023-07-26 03:00:00,76.0
2023-07-26 03:00:00,74.0
2023-07-26 03:00:00,65.0
2023-07-26 03:00:00,64.0
2023-07-26 03:00:00,97.0
2023-07-26 03:00:00,87.0
2023-07-26 03:00:00,67.0
2023-07-26 03:00:00,52.4
2023-07-26 03:00:00,52.4
2023-07-26 03:00:00,52.4
2023-07-26 03:00:00,52.4
2023-07-26 03:00:00,81.0
2023-07-26 03:00:00,181.0
2023-07-26 03:00:00,124.0
2023-07-26 03:00:00,163.0
2023-07-26 03:00:00,198.0
2023-07-26 03:00:00,4.0
2023-07-26 03:00:00,12.0
2023-07-26 03:00:00,202.0
2023-07-26 03:00:00,78.0
2023-07-26 03:00:00,58.0
2023-07-26 03:00:00,60.0
2023-07-26 03:00:00,42.0
2023-07-27 03:00:00,84.0
2023-07-27 03:00:00,78.0
2023-07-27 03:00:00,66.0
2023-07-27 03:00:00,62.0
2023-07-27 03:00:00,39.0
2023-07-27 03:00:00,108.0
2023-07-27 03:00:00,82.0
2023-07-27 03:00:00,80.0
2023-07-27 03:00:00,88.0
2023-07-27 03:00:00,52.4
2023-07-27 03:00:00,74.0
2023-07-27 03:00:00,70.0
2023-07-27 03:00:00,86.0
2023-07-27 03:00:00,63.0
2023-07-27 03:00:00,64.0
2023-07-27 03:00:00,52.4
2023-07-27 03:00:00,52.4
2023-07-27 03:00:00,90.0
2023-07-27 03:00:00,71.0
2023-07-27 03:00:00,35.0
2023-07-27 03:00:00,4.0
2023-07-27 03:00:00,52.4
2023-07-27 03:00:00,12.0
2023-07-27 03:00:00,61.0
2023-07-27 03:00:00,58.0
2023-07-27 03:00:00,41.0
2023-07-27 03:00:00,40.0
2023-07-27 03:00:00,105.0
2023-07-27 03:00:00,92.0
2023-07-27 03:00:00,79.0
2023-07-28 03:00:00,79.0
2023-07-28 03:00:00,70.0
2023-07-28 03:00:00,46.0
2023-07-28 03:00:00,118.0
2023-07-28 03:00:00,102.0
2023-07-28 03:00:00,110.0
2023-07-28 03:00:00,90.0
2023-07-28 03:00:00,106.0
2023-07-28 03:00:00,122.0
2023-07-28 03:00:00,105.0
2023-07-28 03:00:00,119.0
2023-07-28 03:00:00,92.0
2023-07-28 03:00:00,52.4
2023-07-28 03:00:00,52.4
2023-07-28 03:00:00,96.0
2023-07-28 03:00:00,52.4
2023-07-28 03:00:00,52.4
2023-07-28 03:00:00,52.4
2023-07-28 03:00:00,12.0
2023-07-28 03:00:00,90.0
2023-07-28 03:00:00,97.0
2023-07-28 03:00:00,83.0
2023-07-28 03:00:00,77.0
2023-07-28 03:00:00,66.0
2023-07-28 03:00:00,66.0
2023-07-28 03:00:00,52.0
2023-07-29 03:00:00,52.4
2023-07-29 03:00:00,132.0
2023-07-29 03:00:00,104.0
2023-07-29 03:00:00,121.0
2023-07-29 03:00:00,90.0
