"Time","tlm_mb_solarpanel_1_current()"
2023-12-24 03:00:00,142 
2023-12-24 03:00:00,147 
2023-12-24 03:00:00,35 
2023-12-24 03:00:00,11 
2023-12-24 03:00:00,2.4 
2023-12-24 03:00:00,51 
2023-12-24 03:00:00,2.2 
2023-12-24 03:00:00,63 
2023-12-24 03:00:00,40 
2023-12-24 03:00:00,12 
2023-12-24 03:00:00,11 
2023-12-24 03:00:00,10 
2023-12-24 03:00:00,18 
2023-12-24 03:00:00,5.1 
2023-12-24 03:00:00,13 
2023-12-24 03:00:00,29 
2023-12-24 03:00:00,5.9 
2023-12-24 03:00:00,15 
2023-12-24 03:00:00,57 
2023-12-25 03:00:00,2.4 
2023-12-25 03:00:00,229 
2023-12-25 03:00:00,5.6 
2023-12-25 03:00:00,14 
2023-12-25 03:00:00,9.3 
2023-12-25 03:00:00,28 
2023-12-25 03:00:00,11 
2023-12-25 03:00:00,13 
2023-12-25 03:00:00,7.1 
2023-12-25 03:00:00,108 
2023-12-25 03:00:00,562 
2023-12-25 03:00:00,83 
2023-12-25 03:00:00,30 
2023-12-25 03:00:00,2.7 
2023-12-25 03:00:00,5.4 
2023-12-25 03:00:00,20 
2023-12-25 03:00:00,11 
2023-12-25 03:00:00,29 
2023-12-25 03:00:00,48 
2023-12-25 03:00:00,164 
2023-12-25 03:00:00,21 
2023-12-25 03:00:00,7.8 
2023-12-25 03:00:00,38 
2023-12-26 03:00:00,7.8 
2023-12-26 03:00:00,9.3 
2023-12-26 03:00:00,28 
2023-12-26 03:00:00,25 
2023-12-26 03:00:00,14 
2023-12-26 03:00:00,27 
2023-12-26 03:00:00,8.3 
2023-12-26 03:00:00,5.1 
2023-12-26 03:00:00,20 
2023-12-26 03:00:00,2.4 
2023-12-26 03:00:00,93 
2023-12-26 03:00:00,27 
2023-12-26 03:00:00,28 
2023-12-26 03:00:00,36 
2023-12-26 03:00:00,12 
2023-12-26 03:00:00,2.7 
2023-12-26 03:00:00,9.8 
2023-12-27 03:00:00,20 
2023-12-27 03:00:00,22 
2023-12-27 03:00:00,12 
2023-12-27 03:00:00,2.4 
2023-12-27 03:00:00,8.1 
2023-12-27 03:00:00,8.5 
2023-12-27 03:00:00,2.7 
2023-12-27 03:00:00,168 
2023-12-27 03:00:00,32 
2023-12-27 03:00:00,16 
2023-12-28 03:00:00,15 
2023-12-28 03:00:00,32 
2023-12-28 03:00:00,255 
2023-12-28 03:00:00,12 
2023-12-28 03:00:00,22 
2023-12-28 03:00:00,341 
2023-12-28 03:00:00,28 
2023-12-28 03:00:00,13 
2023-12-28 03:00:00,15 
2023-12-28 03:00:00,228 
2023-12-28 03:00:00,2.2 
2023-12-28 03:00:00,101 
2023-12-28 03:00:00,78 
2023-12-28 03:00:00,12 
2023-12-28 03:00:00,376 
2023-12-28 03:00:00,113 
2023-12-28 03:00:00,2.7 
2023-12-28 03:00:00,5.4 
2023-12-29 03:00:00,9.3 
2023-12-29 03:00:00,116 
2023-12-29 03:00:00,5.6 
2023-12-29 03:00:00,2.4 
2023-12-29 03:00:00,2.7 
2023-12-29 03:00:00,262 
2023-12-29 03:00:00,56 
2023-12-29 03:00:00,8.1 
2023-12-29 03:00:00,188 
2023-12-29 03:00:00,277 
2023-12-29 03:00:00,18 
2023-12-29 03:00:00,28 
2023-12-29 03:00:00,2.2 
2023-12-29 03:00:00,161 
2023-12-30 03:00:00,166 
2023-12-30 03:00:00,488 
2023-12-30 03:00:00,288 
2023-12-30 03:00:00,23 
2023-12-30 03:00:00,25 
2023-12-30 03:00:00,89 
2023-12-30 03:00:00,2.4 
2023-12-30 03:00:00,231 
2023-12-30 03:00:00,41 
2023-12-30 03:00:00,12 
2023-12-30 03:00:00,5.1 
2023-12-30 03:00:00,2.2 
2023-12-30 03:00:00,2.7 
2023-12-30 03:00:00,437 
2023-12-30 03:00:00,7.6 
2023-12-30 03:00:00,5.4 
2023-12-31 03:00:00,5.4 
2023-12-31 03:00:00,5.1 
2023-12-31 03:00:00,2.7 
2023-12-31 03:00:00,14 
2023-12-31 03:00:00,2.4 
2023-12-31 03:00:00,5.6 
2023-12-31 03:00:00,2.2 
2023-12-31 03:00:00,296 
2023-12-31 03:00:00,15 
2023-12-31 03:00:00,11 
2023-12-31 03:00:00,461 
2023-12-31 03:00:00,65 
2023-12-31 03:00:00,19 
2023-12-31 03:00:00,13 
2024-01-01 03:00:00,34 
2024-01-01 03:00:00,56 
2024-01-01 03:00:00,2.4 
2024-01-01 03:00:00,39 
2024-01-01 03:00:00,5.9 
2024-01-01 03:00:00,2.7 
2024-01-01 03:00:00,6.3 
2024-01-01 03:00:00,11 
2024-01-01 03:00:00,12 
2024-01-01 03:00:00,28 
2024-01-01 03:00:00,5.4 
2024-01-02 03:00:00,28 
2024-01-02 03:00:00,172 
2024-01-02 03:00:00,16 
2024-01-02 03:00:00,26 
2024-01-02 03:00:00,5.4 
2024-01-02 03:00:00,179 
2024-01-02 03:00:00,2.4 
2024-01-02 03:00:00,2.2 
2024-01-02 03:00:00,17 
2024-01-02 03:00:00,5.6 
