"Time","57175.distinct"
2023-07-06 03:00:00,21.44 °C
2023-07-06 03:00:00,250.81 °C
2023-07-06 03:00:00,250.63 °C
2023-07-06 03:00:00,8.38 °C
2023-07-06 03:00:00,11.00 °C
2023-07-06 03:00:00,250.06 °C
2023-07-06 03:00:00,250.31 °C
2023-07-06 03:00:00,250.38 °C
2023-07-06 03:00:00,9.38 °C
2023-07-06 03:00:00,9.69 °C
2023-07-06 03:00:00,10.06 °C
2023-07-06 03:00:00,10.31 °C
2023-07-06 03:00:00,10.94 °C
2023-07-06 03:00:00,11.13 °C
2023-07-06 03:00:00,11.81 °C
2023-07-06 03:00:00,10.75 °C
2023-07-06 03:00:00,11.75 °C
2023-07-06 03:00:00,12.50 °C
2023-07-06 03:00:00,13.63 °C
2023-07-06 03:00:00,14.44 °C
2023-07-06 03:00:00,14.75 °C
2023-07-06 03:00:00,7.31 °C
2023-07-06 03:00:00,7.63 °C
2023-07-06 03:00:00,8.63 °C
2023-07-06 03:00:00,9.00 °C
2023-07-06 03:00:00,9.44 °C
2023-07-06 03:00:00,9.94 °C
2023-07-06 03:00:00,8.88 °C
2023-07-06 03:00:00,10.69 °C
2023-07-06 03:00:00,11.44 °C
2023-07-06 03:00:00,11.94 °C
2023-07-06 03:00:00,12.38 °C
2023-07-06 03:00:00,12.88 °C
2023-07-06 03:00:00,13.56 °C
2023-07-06 03:00:00,13.19 °C
2023-07-06 03:00:00,13.94 °C
2023-07-06 03:00:00,15.25 °C
2023-07-06 03:00:00,15.56 °C
2023-07-06 03:00:00,9.88 °C
2023-07-06 03:00:00,12.56 °C
2023-07-06 03:00:00,12.94 °C
2023-07-06 03:00:00,13.13 °C
2023-07-06 03:00:00,11.50 °C
2023-07-06 03:00:00,12.25 °C
2023-07-06 03:00:00,12.63 °C
2023-07-06 03:00:00,248.69 °C
2023-07-06 03:00:00,249.19 °C
2023-07-06 03:00:00,250.75 °C
2023-07-06 03:00:00,251.06 °C
2023-07-06 03:00:00,251.94 °C
2023-07-06 03:00:00,14.50 °C
2023-07-06 03:00:00,15.81 °C
2023-07-06 03:00:00,16.19 °C
2023-07-06 03:00:00,16.94 °C
2023-07-06 03:00:00,14.69 °C
2023-07-06 03:00:00,0.63 °C
