Time,Cell Xp V
2023-04-18 03:00:00,378 m
2023-04-19 03:00:00,2.660 
2023-04-20 03:00:00,2.677 
2023-04-21 03:00:00,2.837 
2023-04-22 03:00:00,2.665 
2023-04-23 03:00:00,2.667 
2023-04-24 03:00:00,2.611 
2023-04-25 03:00:00,2.678 
2023-04-26 03:00:00,2.792 
2023-04-27 03:00:00,296 m
2023-04-28 03:00:00,445 m
2023-04-29 03:00:00,2.701 
2023-04-30 03:00:00,298 m
2023-05-01 03:00:00,2.763 
2023-05-02 03:00:00,2.637 
2023-05-03 03:00:00,286 m
2023-05-04 03:00:00,2.685 
2023-05-05 03:00:00,2.682 
2023-05-06 03:00:00,298 m
2023-05-07 03:00:00,2.843 
2023-05-08 03:00:00,518 m
2023-05-09 03:00:00,678 m
2023-05-10 03:00:00,315 m
2023-05-11 03:00:00,2.583 
2023-05-12 03:00:00,651 m
2023-05-13 03:00:00,305 m
2023-05-14 03:00:00,335 m
2023-05-15 03:00:00,298 m
2023-05-16 03:00:00,295 m
2023-05-17 03:00:00,2.882 
2023-05-18 03:00:00,276 m
2023-05-19 03:00:00,296 m
2023-05-20 03:00:00,495 m
2023-05-21 03:00:00,2.655 
2023-05-22 03:00:00,2.655 
2023-05-23 03:00:00,2.852 
2023-05-24 03:00:00,2.782 
2023-05-25 03:00:00,295 m
2023-05-26 03:00:00,2.933 
2023-05-27 03:00:00,2.641 
2023-05-28 03:00:00,347 m
2023-05-29 03:00:00,2.822 
2023-05-30 03:00:00,2.678 
2023-05-31 03:00:00,2.891 
2023-06-01 03:00:00,295 m
2023-06-02 03:00:00,2.800 
2023-06-03 03:00:00,297 m
2023-06-04 03:00:00,300 m
2023-06-05 03:00:00,2.532 
2023-06-06 03:00:00,2.910 
2023-06-07 03:00:00,422 m
2023-06-08 03:00:00,295 m
2023-06-09 03:00:00,641 m
2023-06-10 03:00:00,2.621 
2023-06-11 03:00:00,1.892 
2023-06-12 03:00:00,2.887 
2023-06-13 03:00:00,297 m
2023-06-14 03:00:00,2.696 
2023-06-15 03:00:00,2.680 
2023-06-16 03:00:00,298 m
2023-06-17 03:00:00,2.635 
2023-06-18 03:00:00,261 m
2023-06-19 03:00:00,660 m
2023-06-20 03:00:00,156 m
2023-06-21 03:00:00,303 m
2023-06-22 03:00:00,2.723 
2023-06-23 03:00:00,287 m
2023-06-24 03:00:00,2.773 
2023-06-25 03:00:00,2.695 
2023-06-26 03:00:00,2.646 
2023-06-27 03:00:00,365 m
2023-06-28 03:00:00,497 m
2023-06-29 03:00:00,2.741 
2023-06-30 03:00:00,2.615 
2023-07-01 03:00:00,602 m
2023-07-02 03:00:00,2.422 
2023-07-03 03:00:00,357 m
2023-07-04 03:00:00,2.685 
2023-07-05 03:00:00,208 m
2023-07-06 03:00:00,290 m
2023-07-07 03:00:00,2.598 
2023-07-08 03:00:00,2.896 
2023-07-09 03:00:00,296 m
2023-07-10 03:00:00,2.622 
2023-07-11 03:00:00,297 m
2023-07-12 03:00:00,423 m
2023-07-13 03:00:00,447 m
2023-07-14 03:00:00,2.735 
2023-07-15 03:00:00,2.682 
2023-07-16 03:00:00,358 m
2023-07-17 03:00:00,2.906 
2023-07-18 03:00:00,448 m
2023-07-19 03:00:00,2.545 
2023-07-20 03:00:00,2.656 
2023-07-21 03:00:00,298 m
2023-07-22 03:00:00,2.698 
2023-07-23 03:00:00,213 m
2023-07-24 03:00:00,2.601 
2023-07-25 03:00:00,296 m
2023-07-26 03:00:00,297 m
2023-07-27 03:00:00,2.710 
2023-07-28 03:00:00,300 m
2023-07-29 03:00:00,2.912 
2023-07-30 03:00:00,358 m
2023-07-31 03:00:00,2.781 
2023-08-01 03:00:00,2.631 
2023-08-02 03:00:00,437 m
2023-08-03 03:00:00,2.938 
2023-08-04 03:00:00,2.681 
2023-08-05 03:00:00,2.666 
2023-08-06 03:00:00,320 m
2023-08-07 03:00:00,511 m
2023-08-08 03:00:00,2.908 
2023-08-09 03:00:00,0 m
2023-08-10 03:00:00,2.770 
2023-08-11 03:00:00,495 m
2023-08-12 03:00:00,2.620 
2023-08-13 03:00:00,2.551 
2023-08-14 03:00:00,2.758 
2023-08-15 03:00:00,2.667 
2023-08-16 03:00:00,2.817 
2023-08-17 03:00:00,2.940 
2023-08-18 03:00:00,2.915 
2023-08-19 03:00:00,321 m
2023-08-20 03:00:00,293 m
2023-08-21 03:00:00,2.740 
2023-08-22 03:00:00,2.728 
2023-08-23 03:00:00,2.673 
2023-08-24 03:00:00,497 m
2023-08-25 03:00:00,315 m
2023-08-26 03:00:00,2.708 
2023-08-27 03:00:00,2.702 
2023-08-28 03:00:00,2.787 
2023-08-29 03:00:00,2.655 
2023-08-30 03:00:00,2.670 
2023-08-31 03:00:00,171 m
2023-09-01 03:00:00,2.891 
2023-09-02 03:00:00,483 m
2023-09-03 03:00:00,175 m
2023-09-04 03:00:00,498 m
2023-09-05 03:00:00,2.735 
2023-09-06 03:00:00,2.655 
2023-09-07 03:00:00,5 m
2023-09-08 03:00:00,2.758 
2023-09-09 03:00:00,2.666 
2023-09-10 03:00:00,2.690 
2023-09-11 03:00:00,2.545 
2023-09-12 03:00:00,2.770 
2023-09-13 03:00:00,2.782 
2023-09-14 03:00:00,2.588 
2023-09-15 03:00:00,2.658 
2023-09-16 03:00:00,2.693 
2023-09-17 03:00:00,2.600 
2023-09-18 03:00:00,2.751 
2023-09-19 03:00:00,2.770 
2023-09-20 03:00:00,30 m
2023-09-21 03:00:00,2.751 
2023-09-22 03:00:00,2.717 
2023-09-23 03:00:00,2.671 
2023-09-24 03:00:00,2.648 
2023-09-25 03:00:00,2.775 
2023-09-26 03:00:00,2.697 
2023-09-27 03:00:00,485 m
2023-09-28 03:00:00,2.841 
2023-09-29 03:00:00,40 m
2023-09-30 03:00:00,32 m
2023-10-01 03:00:00,35 m
2023-10-02 03:00:00,2.656 
2023-10-03 03:00:00,297 m
2023-10-04 03:00:00,2.713 
2023-10-05 03:00:00,2.838 
2023-10-06 03:00:00,2.745 
2023-10-07 03:00:00,2.345 
2023-10-08 03:00:00,1.352 
2023-10-09 03:00:00,2.695 
2023-10-10 03:00:00,2.755 
2023-10-11 03:00:00,2.655 
2023-10-12 03:00:00,460 m
2023-10-13 03:00:00,5 m
2023-10-14 03:00:00,2.737 
2023-10-15 03:00:00,5 m
2023-10-16 03:00:00,2.606 
2023-10-17 03:00:00,2 m
2023-10-18 03:00:00,2.715 
2023-10-19 03:00:00,2.775 
2023-10-20 03:00:00,475 m
2023-10-21 03:00:00,2.770 
2023-10-22 03:00:00,1.970 
2023-10-23 03:00:00,185 m
2023-10-24 03:00:00,2.725 
2023-10-25 03:00:00,2.691 
2023-10-26 03:00:00,2.510 
2023-10-27 03:00:00,36 m
2023-10-28 03:00:00,36 m
2023-10-29 03:00:00,30 m
2023-10-30 03:00:00,8 m
2023-10-31 03:00:00,571 m
2023-11-01 03:00:00,208 m
2023-11-02 03:00:00,2.761 
2023-11-03 03:00:00,2.732 
2023-11-04 03:00:00,413 m
2023-11-05 03:00:00,2.681 
2023-11-06 03:00:00,2 m
2023-11-07 03:00:00,502 m
2023-11-08 03:00:00,2.727 
2023-11-09 03:00:00,2.737 
2023-11-10 03:00:00,5 m
2023-11-11 03:00:00,2 m
2023-11-12 03:00:00,513 m
2023-11-13 03:00:00,1 m
2023-11-14 03:00:00,2.793 
2023-11-15 03:00:00,5 m
