"Time","-X Panel Temperature","+X Panel Temperature","-Y Panel Temperature","+Y Panel Temperature","-Z Panel Temperature","+Z Panel Temperature"
2021-08-07 03:00:00,-16,-39,-26,-45,-24,21
2021-08-09 03:00:00,-21,-24,-45,-23,-14,-28
2021-08-13 03:00:00,-5,-6,9,-2,4.8,23
2021-08-16 03:00:00,-31,-35,-46,-24,-1,-2
2021-08-24 03:00:00,46,35,7.3,27,23,-8
2021-08-27 03:00:00,48,2.8,-18,-11,-9,0
2021-08-28 03:00:00,-17,-15,-13,-7,21,-26
2021-08-31 03:00:00,16,27,-14,7,18,-3
2021-09-02 03:00:00,19,13,7.7,20,30,-4
2021-09-05 03:00:00,-51,-55,-64,-57,-18,14
2021-12-13 03:00:00,-6,-21,-25,-38,-23,33
2021-12-15 03:00:00,25,31,20,37,21,2.8
2021-12-20 03:00:00,-33,-30,-33,-25,2,-26
2021-12-22 03:00:00,-7,-3,32,-15,5.1,16
2021-12-23 03:00:00,28,25,9.0,22,17,26
2021-12-24 03:00:00,-3,-2,25,-13,3.7,27
2021-12-25 03:00:00,7.7,6.4,18,-2,11,27
2021-12-26 03:00:00,31,34,37,7.6,21,-12
2021-12-27 03:00:00,7.1,5.6,30,-4,9.1,21
2021-12-28 03:00:00,-3,-5,25,-13,1.3,10
2021-12-29 03:00:00,6.3,2.0,-1,0,9.8,11
2021-12-30 03:00:00,3.0,0.023,18,-7,8.2,3.9
2021-12-31 03:00:00,-6,0.29,5.5,-16,3.5,21
2022-01-01 03:00:00,11,21,21,14,34,17
2022-01-02 03:00:00,-21,-11,-21,-19,-7,14
2022-01-03 03:00:00,14,4.2,29,-3,17,25
2022-01-04 03:00:00,-40,-42,-48,-43,-7,5.4
2022-01-05 03:00:00,-47,-45,-49,-50,-13,-3
2022-01-06 03:00:00,-5,-9,-18,-2,13,2.7
2022-01-08 03:00:00,37,33,12,29,41,5.0
2022-01-11 03:00:00,-5,-6,-12,0.25,12,22
2022-01-13 03:00:00,-31,-33,-33,-32,-3,6.3
2022-01-14 03:00:00,-2,-6,-6,-1,12,20
2022-01-23 03:00:00,21,9.9,29,7.9,12,-1
2022-01-27 03:00:00,-42,-41,-48,-44,-8,-16
2022-01-31 03:00:00,18,23,30,11,22,28
2022-02-01 03:00:00,-2,-3,-5,-4,9.8,31
2022-02-11 03:00:00,-33,-39,-35,-46,-9,25
2022-02-14 03:00:00,-35,-35,-37,-36,0.83,-22
2022-02-19 03:00:00,-36,-40,-39,-35,-5,-13
2022-02-21 03:00:00,3.5,14,-22,-39,-21,15
2022-03-15 03:00:00,-43,-43,-50,-43,-7,-14
2022-03-17 03:00:00,12,13,6.9,5.6,23,26
2022-03-23 03:00:00,6,7.5,0.50,2.5,1,24
2022-03-27 03:00:00,-19,-11,-40,-27,-12,20
2022-04-14 03:00:00,-20,-21,-24,-22,8,-9
2022-04-30 03:00:00,53,27,10,49,25,10
2022-05-04 03:00:00,-11,-23,-5,-26,-5,-7
2022-05-06 03:00:00,-53,-41,-55,-59,-21,-9
2022-05-11 03:00:00,21,17,1.5,37,34,3.5
2022-05-13 03:00:00,-4,14,-18,-15,0,0.50
2022-05-17 03:00:00,-45,-45,-21,-57,-16,-19
2022-05-24 03:00:00,24,33,47,53,33,-21
2022-05-25 03:00:00,-11,-7,-2,-8,2,23
2022-05-30 03:00:00,11,19,32,4.5,15,17
2022-06-11 03:00:00,-8,-17,-7,-18,-1,4.3
2022-06-13 03:00:00,-21,-18,-23,-15,7.2,4.4
2022-06-16 03:00:00,0,0,0,0,-7,0
2022-06-18 03:00:00,-1,-13,23,-16,-1,5.8
2022-06-22 03:00:00,18,15,18,11,36,17
2022-06-23 03:00:00,34,27,10,23,18,18
2022-06-25 03:00:00,6.8,23,-5,11,13,26
2022-06-26 03:00:00,7.8,13,27,15,16,11
2022-06-27 03:00:00,16,16,5.2,21,21,46
2022-06-28 03:00:00,5,4,8.7,7.5,13,39
2022-06-29 03:00:00,-5,-2,-3,5,-1,34
2022-06-30 03:00:00,22,31,18,36,21,17
2022-07-01 03:00:00,2.8,0,-19,3.9,9.2,20
2022-07-02 03:00:00,-13,-7,-11,0,11,0
2022-07-04 03:00:00,27,19,52,7.8,15,-14
2022-07-05 03:00:00,23,27,22,32,16,10
2022-07-06 03:00:00,26,31,16,48,35,15
2022-07-11 03:00:00,-5,8.5,2.2,2.8,8,15
2022-07-12 03:00:00,20,10,-1,22,17,16
2022-07-13 03:00:00,-47,-48,-46,-51,-11,-16
2022-07-19 03:00:00,48,52,34,35,16,-1
2022-07-20 03:00:00,-53,-54,-48,-57,-14,-17
2022-08-04 03:00:00,25,16,3.4,15,28,14
2022-08-08 03:00:00,-16,-17,-25,-25,5.9,1.7
2022-08-09 03:00:00,-3,-7,-20,-7,16,-6
2022-08-12 03:00:00,15,12,24,11,18,27
2022-08-14 03:00:00,7,10,-6,11,12,3
2022-08-20 03:00:00,14,10,16,18,16,29
2022-08-22 03:00:00,45,46,36,43,45,2.1
2022-08-23 03:00:00,16,16,14,16,14,16
2022-08-25 03:00:00,27,23,4.9,27,18,20
2022-08-26 03:00:00,-25,-18,6.5,-21,-7,13
2022-08-27 03:00:00,8.8,13,6.3,16,21,7.5
2022-08-29 03:00:00,-46,-44,-48,-47,-9,-18
2022-08-30 03:00:00,1.1,0.38,2.8,3.1,11,6.8
2022-08-31 03:00:00,-41,-45,-41,-45,-11,3.5
2022-09-01 03:00:00,-40,-42,-49,-43,-7,-16
2022-09-02 03:00:00,-44,-44,-46,-44,-8,-19
2022-09-03 03:00:00,-35,-40,-33,-43,-11,-2
2022-09-04 03:00:00,-31,-30,-20,-33,-4,-8
2022-09-06 03:00:00,-11,-13,-15,-11,8.1,-4
2022-09-08 03:00:00,19,8.6,-2,14,22,-7
2022-09-09 03:00:00,-41,-40,-46,-44,-6,-15
2022-09-10 03:00:00,-39,-42,-38,-45,-7,-14
2022-09-11 03:00:00,-44,-44,-48,-45,-9,-17
2022-09-12 03:00:00,-43,-44,-37,-49,-10,-18
2022-09-13 03:00:00,-36,-38,-41,-38,-3,-12
2022-09-14 03:00:00,-41,-41,-42,-45,-6,-16
2022-09-15 03:00:00,5.7,1.1,-8,0.14,13,8.1
2022-09-16 03:00:00,30,23,34,29,19,16
2022-09-17 03:00:00,11,-2,-1,0.50,15,0
2022-09-18 03:00:00,-12,-12,-19,-12,11,14
2022-09-20 03:00:00,-15,-10,-6,-15,11,-5
2022-09-21 03:00:00,32,38,53,53,52,1.7
2022-09-24 03:00:00,2.1,5.8,7.8,5,17,12
2022-09-26 03:00:00,21,24,11,25,22,28
2022-09-27 03:00:00,24,36,22,9.6,18,7.2
2022-09-29 03:00:00,-26,-27,-36,-29,3,-9
2022-09-30 03:00:00,24,20,22,20,23,22
2022-10-01 03:00:00,29,33,7.5,37,28,28
2022-10-02 03:00:00,23,24,21,25,25,21
2022-10-03 03:00:00,32,32,13,37,27,26
2022-10-04 03:00:00,22,20,25,12,20,21
2022-10-05 03:00:00,25,31,20,33,29,23
2022-10-06 03:00:00,37,31,26,31,36,15
2022-10-07 03:00:00,28,39,8.7,37,27,28
2022-10-08 03:00:00,20,27,21,35,22,19
2022-10-09 03:00:00,34,39,9.4,42,32,20
2022-10-10 03:00:00,28,31,1,37,21,27
2022-10-11 03:00:00,6.8,2.7,4.5,6.2,11,14
2022-10-13 03:00:00,9.7,13,0,22,18,11
2022-10-14 03:00:00,-9,-13,-24,-11,5.9,11
2022-10-15 03:00:00,-14,-10,-22,-6,8,2.5
2022-10-16 03:00:00,-5,-3,-22,-4,0,42
2022-10-17 03:00:00,9.2,10,10,15,21,13
2022-10-18 03:00:00,-6,-6,-16,0.32,5.3,5.8
2022-10-19 03:00:00,-37,-40,-46,-43,-6,-21
2022-10-21 03:00:00,-48,-48,-45,-52,-11,-17
2022-10-22 03:00:00,-44,-45,-49,-46,-10,-18
2022-10-24 03:00:00,-46,-44,-50,-43,-8,-11
2022-10-25 03:00:00,-41,-41,-43,-44,-6,-16
2022-10-26 03:00:00,-34,-34,-42,-35,-2,-14
2022-10-27 03:00:00,-38,-39,-43,-40,-5,-16
2022-10-28 03:00:00,-27,-26,-33,-26,4.2,-10
2022-10-29 03:00:00,-29,-27,-32,-30,2.6,-11
2022-10-30 03:00:00,-31,-28,-32,-30,2.2,-12
2022-10-31 03:00:00,-32,-31,-36,-31,1.5,-15
2022-11-01 03:00:00,-35,-32,-34,-35,0.17,-11
2022-11-02 03:00:00,-22,-20,-14,-21,7.3,-7
2022-11-03 03:00:00,-3,-1,-2,-3,17,3.9
2022-11-04 03:00:00,-32,-33,-31,-39,-11,-4
2022-11-07 03:00:00,33,37,6.8,36,26,26
2022-11-11 03:00:00,43,52,9.3,47,31,18
2022-11-12 03:00:00,51,53,52,53,53,-3
2022-11-13 03:00:00,-22,-22,-20,-25,-15,42
2022-11-14 03:00:00,21,22,17,2.5,19,0.42
2022-11-15 03:00:00,17,14,17,16,18,17

